T29,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
9,Oceania,2018,Percentage of individuals using the internet,68.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
9,Oceania,2019,Percentage of individuals using the internet,68.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
53,Australia and New Zealand,2000,Percentage of individuals using the internet,46.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
53,Australia and New Zealand,2005,Percentage of individuals using the internet,63.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
53,Australia and New Zealand,2010,Percentage of individuals using the internet,76.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
53,Australia and New Zealand,2015,Percentage of individuals using the internet,85.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
53,Australia and New Zealand,2017,Percentage of individuals using the internet,87.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
53,Australia and New Zealand,2018,Percentage of individuals using the internet,87.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
53,Australia and New Zealand,2019,Percentage of individuals using the internet,87.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
4,Afghanistan,2005,Percentage of individuals using the internet,1.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
4,Afghanistan,2010,Percentage of individuals using the internet,4.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
4,Afghanistan,2015,Percentage of individuals using the internet,8.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
4,Afghanistan,2017,Percentage of individuals using the internet,11.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
8,Albania,2000,Percentage of individuals using the internet,0.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
8,Albania,2005,Percentage of individuals using the internet,6.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
8,Albania,2010,Percentage of individuals using the internet,45.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
8,Albania,2015,Percentage of individuals using the internet,63.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
8,Albania,2017,Percentage of individuals using the internet,71.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
8,Albania,2019,Percentage of individuals using the internet,68.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
12,Algeria,2000,Percentage of individuals using the internet,0.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
12,Algeria,2005,Percentage of individuals using the internet,5.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
12,Algeria,2010,Percentage of individuals using the internet,12.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
12,Algeria,2015,Percentage of individuals using the internet,38.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
12,Algeria,2017,Percentage of individuals using the internet,47.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
12,Algeria,2018,Percentage of individuals using the internet,49.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
20,Andorra,2000,Percentage of individuals using the internet,10.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
20,Andorra,2005,Percentage of individuals using the internet,37.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
20,Andorra,2010,Percentage of individuals using the internet,81.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
20,Andorra,2015,Percentage of individuals using the internet,96.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
20,Andorra,2017,Percentage of individuals using the internet,91.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
