departamento;MUNICIPIO;Npuesto;gps;votos;direccion;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;8;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;5;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;10;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;11;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;4;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;6;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;10;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;5;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;11;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;4;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;3;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;2;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;10;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;2;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;7;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;4;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;11;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;12;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;6;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;8;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;13;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;8;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;10;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;11;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;14;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;8;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;13;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;11;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;4;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;8;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;7;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;6;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;4;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;9;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;4;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;4;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;12;CARRERA 4C # 24 - 15 ;;
