T30,Tourist/visitor arrivals and tourism expenditure,,,,,,,
Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
428,Latvia,2005,Tourism expenditure (millions of US dollars),,,446,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
422,Lebanon,1995,Tourist/visitor arrivals (thousands),TF,,450,"Excluding the Lebanon, Syria and Palestine nationalities.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
422,Lebanon,2005,Tourist/visitor arrivals (thousands),TF,,"1,140","Excluding the Lebanon, Syria and Palestine nationalities.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
422,Lebanon,2010,Tourist/visitor arrivals (thousands),TF,,"2,168","Excluding the Lebanon, Syria and Palestine nationalities.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
422,Lebanon,2017,Tourist/visitor arrivals (thousands),TF,,"1,857","Excluding the Lebanon, Syria and Palestine nationalities.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
422,Lebanon,2018,Tourist/visitor arrivals (thousands),TF,,"1,964","Excluding the Lebanon, Syria and Palestine nationalities.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
422,Lebanon,2019,Tourist/visitor arrivals (thousands),TF,,"1,936","Excluding the Lebanon, Syria and Palestine nationalities.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
422,Lebanon,1995,Tourism expenditure (millions of US dollars),,,710,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
422,Lebanon,2005,Tourism expenditure (millions of US dollars),,,"5,969",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
422,Lebanon,2010,Tourism expenditure (millions of US dollars),,,"8,026",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
422,Lebanon,2017,Tourism expenditure (millions of US dollars),,,"8,086",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
422,Lebanon,2018,Tourism expenditure (millions of US dollars),,,"8,694",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
422,Lebanon,2019,Tourism expenditure (millions of US dollars),,,"8,717",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
426,Lesotho,1995,Tourist/visitor arrivals (thousands),VF,,209,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
426,Lesotho,2005,Tourist/visitor arrivals (thousands),VF,,304,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
426,Lesotho,2010,Tourist/visitor arrivals (thousands),VF,,426,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
426,Lesotho,2017,Tourist/visitor arrivals (thousands),VF,,"1,137",Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
426,Lesotho,2018,Tourist/visitor arrivals (thousands),VF,,"1,173",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
426,Lesotho,2019,Tourist/visitor arrivals (thousands),VF,,"1,142",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
426,Lesotho,1995,Tourism expenditure (millions of US dollars),,,27,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
426,Lesotho,2005,Tourism expenditure (millions of US dollars),,,27,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
426,Lesotho,2010,Tourism expenditure (millions of US dollars),,,23,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
426,Lesotho,2017,Tourism expenditure (millions of US dollars),,,23,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
426,Lesotho,2018,Tourism expenditure (millions of US dollars),,,24,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
426,Lesotho,2019,Tourism expenditure (millions of US dollars),,,22,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
430,Liberia,2005,Tourism expenditure (millions of US dollars),,,67,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
434,Libya,1995,Tourist/visitor arrivals (thousands),THS,,56,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
434,Libya,2005,Tourist/visitor arrivals (thousands),THS,,81,Non-resident tourists staying in hotels and similar establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
434,Libya,1995,Tourism expenditure (millions of US dollars),,,4,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
434,Libya,2005,Tourism expenditure (millions of US dollars),,,301,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
434,Libya,2010,Tourism expenditure (millions of US dollars),,,170,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
438,Liechtenstein,1995,Tourist/visitor arrivals (thousands),TCE,,59,Excluding long term tourists on campgrounds and in holiday flats.;Non-resident tourists staying in hotels and similar establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
438,Liechtenstein,2005,Tourist/visitor arrivals (thousands),TCE,,50,Excluding long term tourists on campgrounds and in holiday flats.;Non-resident tourists staying in hotels and similar establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
438,Liechtenstein,2010,Tourist/visitor arrivals (thousands),TCE,,64,Excluding long term tourists on campgrounds and in holiday flats.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
438,Liechtenstein,2017,Tourist/visitor arrivals (thousands),TCE,,79,Excluding long term tourists on campgrounds and in holiday flats.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
438,Liechtenstein,2018,Tourist/visitor arrivals (thousands),TCE,,85,Excluding long term tourists on campgrounds and in holiday flats.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
438,Liechtenstein,2019,Tourist/visitor arrivals (thousands),TCE,,98,Excluding long term tourists on campgrounds and in holiday flats.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
440,Lithuania,1995,Tourist/visitor arrivals (thousands),TF,,650,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
440,Lithuania,2005,Tourist/visitor arrivals (thousands),TF,,"2,000",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
440,Lithuania,2010,Tourist/visitor arrivals (thousands),TF,,"1,507",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
440,Lithuania,2017,Tourist/visitor arrivals (thousands),TF,,"2,523",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
440,Lithuania,2018,Tourist/visitor arrivals (thousands),TF,,"2,825",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
440,Lithuania,1995,Tourism expenditure (millions of US dollars),,,77,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
440,Lithuania,2005,Tourism expenditure (millions of US dollars),,,920,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
440,Lithuania,2010,Tourism expenditure (millions of US dollars),,,958,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
440,Lithuania,2017,Tourism expenditure (millions of US dollars),,,"1,325",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
440,Lithuania,2018,Tourism expenditure (millions of US dollars),,,"1,419",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
440,Lithuania,2019,Tourism expenditure (millions of US dollars),,,"1,514",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
442,Luxembourg,1995,Tourist/visitor arrivals (thousands),TCE,,768,"Non-resident tourists staying in all types of accommodation establishments.;Including youth hostels, tourist private accommodation and others.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
442,Luxembourg,2005,Tourist/visitor arrivals (thousands),TCE,,913,"Non-resident tourists staying in all types of accommodation establishments.;Including youth hostels, tourist private accommodation and others.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
442,Luxembourg,2010,Tourist/visitor arrivals (thousands),TCE,,805,"Non-resident tourists staying in all types of accommodation establishments.;Including youth hostels, tourist private accommodation and others.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
442,Luxembourg,2017,Tourist/visitor arrivals (thousands),TCE,,"1,046","Non-resident tourists staying in all types of accommodation establishments.;Including youth hostels, tourist private accommodation and others.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
442,Luxembourg,2018,Tourist/visitor arrivals (thousands),TCE,,"1,018","Non-resident tourists staying in all types of accommodation establishments.;Including youth hostels, tourist private accommodation and others.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
442,Luxembourg,2005,Tourism expenditure (millions of US dollars),,,"3,770",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
442,Luxembourg,2010,Tourism expenditure (millions of US dollars),,,"4,519",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
442,Luxembourg,2017,Tourism expenditure (millions of US dollars),,,"4,993",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
442,Luxembourg,2018,Tourism expenditure (millions of US dollars),,,"5,537",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
450,Madagascar,1995,Tourist/visitor arrivals (thousands),TF,,75,Arrivals of non-resident tourists by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
450,Madagascar,2005,Tourist/visitor arrivals (thousands),TF,,277,Arrivals of non-resident tourists by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
450,Madagascar,2010,Tourist/visitor arrivals (thousands),TF,,196,Arrivals of non-resident tourists by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
450,Madagascar,2017,Tourist/visitor arrivals (thousands),TF,,255,Arrivals of non-resident tourists by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
450,Madagascar,2018,Tourist/visitor arrivals (thousands),TF,,291,Arrivals of non-resident tourists by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
450,Madagascar,2019,Tourist/visitor arrivals (thousands),TF,,384,Arrivals of non-resident tourists by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
450,Madagascar,1995,Tourism expenditure (millions of US dollars),,,106,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
450,Madagascar,2005,Tourism expenditure (millions of US dollars),,,275,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
450,Madagascar,2010,Tourism expenditure (millions of US dollars),,,425,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
450,Madagascar,2017,Tourism expenditure (millions of US dollars),,,849,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
450,Madagascar,2018,Tourism expenditure (millions of US dollars),,,879,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
454,Malawi,1995,Tourist/visitor arrivals (thousands),TF,,192,Departures.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
454,Malawi,2005,Tourist/visitor arrivals (thousands),TF,,438,Departures.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
454,Malawi,2010,Tourist/visitor arrivals (thousands),TF,,746,Departures.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
454,Malawi,2017,Tourist/visitor arrivals (thousands),TF,,837,Departures.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
454,Malawi,2018,Tourist/visitor arrivals (thousands),TF,,871,Estimate.;Departures.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
454,Malawi,1995,Tourism expenditure (millions of US dollars),,,22,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
454,Malawi,2005,Tourism expenditure (millions of US dollars),,,48,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
454,Malawi,2010,Tourism expenditure (millions of US dollars),,,45,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
454,Malawi,2017,Tourism expenditure (millions of US dollars),,,35,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
454,Malawi,2018,Tourism expenditure (millions of US dollars),,,43,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
454,Malawi,2019,Tourism expenditure (millions of US dollars),,,47,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
458,Malaysia,1995,Tourist/visitor arrivals (thousands),TF,,"7,469",Including Singapore residents crossing the frontier by road through Johore Causeway.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
458,Malaysia,2005,Tourist/visitor arrivals (thousands),TF,,"16,431",Including Singapore residents crossing the frontier by road through Johore Causeway.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
458,Malaysia,2010,Tourist/visitor arrivals (thousands),TF,,"24,577",Including Singapore residents crossing the frontier by road through Johore Causeway.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
458,Malaysia,2017,Tourist/visitor arrivals (thousands),TF,,"25,948",Including Singapore residents crossing the frontier by road through Johore Causeway.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
458,Malaysia,2018,Tourist/visitor arrivals (thousands),TF,,"25,832",Including Singapore residents crossing the frontier by road through Johore Causeway.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
458,Malaysia,2019,Tourist/visitor arrivals (thousands),TF,,"26,101",Including Singapore residents crossing the frontier by road through Johore Causeway.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
458,Malaysia,1995,Tourism expenditure (millions of US dollars),,,"5,044",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
458,Malaysia,2005,Tourism expenditure (millions of US dollars),,,"10,389",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
458,Malaysia,2010,Tourism expenditure (millions of US dollars),,,"19,619",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
458,Malaysia,2017,Tourism expenditure (millions of US dollars),,,"20,311",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
458,Malaysia,2018,Tourism expenditure (millions of US dollars),,,"21,774",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
462,Maldives,1995,Tourist/visitor arrivals (thousands),TF,,315,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
462,Maldives,2005,Tourist/visitor arrivals (thousands),TF,,395,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
462,Maldives,2010,Tourist/visitor arrivals (thousands),TF,,792,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
462,Maldives,2017,Tourist/visitor arrivals (thousands),TF,,"1,390",Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
462,Maldives,2018,Tourist/visitor arrivals (thousands),TF,,"1,484",Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
462,Maldives,2019,Tourist/visitor arrivals (thousands),TF,,"1,703",Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
462,Maldives,2017,Tourism expenditure (millions of US dollars),,,"2,771",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
462,Maldives,2018,Tourism expenditure (millions of US dollars),,,"3,054",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
462,Maldives,2019,Tourism expenditure (millions of US dollars),,,"3,171",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
466,Mali,1995,Tourist/visitor arrivals (thousands),TF,,42,Arrivals by air only (Bamako-Sénou airport).,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
466,Mali,2005,Tourist/visitor arrivals (thousands),TF,,143,Arrivals by air only (Bamako-Sénou airport).,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
466,Mali,2010,Tourist/visitor arrivals (thousands),TF,,169,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
466,Mali,2017,Tourist/visitor arrivals (thousands),TF,,193,Arrivals by air only (Bamako-Sénou airport).,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
466,Mali,2018,Tourist/visitor arrivals (thousands),TF,,203,Arrivals by air only (Bamako-Sénou airport).,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
466,Mali,1995,Tourism expenditure (millions of US dollars),,,26,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
466,Mali,2005,Tourism expenditure (millions of US dollars),,,149,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
466,Mali,2010,Tourism expenditure (millions of US dollars),,,208,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
466,Mali,2017,Tourism expenditure (millions of US dollars),,,206,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
466,Mali,2018,Tourism expenditure (millions of US dollars),,,231,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
470,Malta,1995,Tourist/visitor arrivals (thousands),TF,,"1,116",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
470,Malta,2005,Tourist/visitor arrivals (thousands),TF,,"1,171",Departures by air and by sea.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
470,Malta,2010,Tourist/visitor arrivals (thousands),TF,,"1,339",Departures by air and by sea.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
470,Malta,2017,Tourist/visitor arrivals (thousands),TF,,"2,274",Departures by air and by sea.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
470,Malta,2018,Tourist/visitor arrivals (thousands),TF,,"2,599",Departures by air and by sea.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
470,Malta,2019,Tourist/visitor arrivals (thousands),TF,,"2,753",Departures by air and by sea.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
470,Malta,1995,Tourism expenditure (millions of US dollars),,,656,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
470,Malta,2005,Tourism expenditure (millions of US dollars),,,755,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
470,Malta,2010,Tourism expenditure (millions of US dollars),,,"1,066",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
470,Malta,2017,Tourism expenditure (millions of US dollars),,,"1,747",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
470,Malta,2018,Tourism expenditure (millions of US dollars),,,"1,849",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
470,Malta,2019,Tourism expenditure (millions of US dollars),,,"1,897",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
584,Marshall Islands,1995,Tourist/visitor arrivals (thousands),TF,,6,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
584,Marshall Islands,2005,Tourist/visitor arrivals (thousands),TF,,9,Air and sea arrivals.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
584,Marshall Islands,2010,Tourist/visitor arrivals (thousands),TF,,5,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
584,Marshall Islands,2017,Tourist/visitor arrivals (thousands),TF,,6,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
584,Marshall Islands,2018,Tourist/visitor arrivals (thousands),TF,,7,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
584,Marshall Islands,1995,Tourism expenditure (millions of US dollars),,,3,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
584,Marshall Islands,2005,Tourism expenditure (millions of US dollars),,,4,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
584,Marshall Islands,2010,Tourism expenditure (millions of US dollars),,,4,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
584,Marshall Islands,2017,Tourism expenditure (millions of US dollars),,,18,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
584,Marshall Islands,2018,Tourism expenditure (millions of US dollars),,,20,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
474,Martinique,1995,Tourist/visitor arrivals (thousands),TF,,457,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
474,Martinique,2005,Tourist/visitor arrivals (thousands),TF,,484,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
474,Martinique,2010,Tourist/visitor arrivals (thousands),TF,,478,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
474,Martinique,2017,Tourist/visitor arrivals (thousands),TF,,536,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
474,Martinique,2018,Tourist/visitor arrivals (thousands),TF,,537,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
474,Martinique,2019,Tourist/visitor arrivals (thousands),TF,,556,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
474,Martinique,1995,Tourism expenditure (millions of US dollars),,,384,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
474,Martinique,2005,Tourism expenditure (millions of US dollars),,,280,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
474,Martinique,2010,Tourism expenditure (millions of US dollars),,,472,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
474,Martinique,2017,Tourism expenditure (millions of US dollars),,,480,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
474,Martinique,2018,Tourism expenditure (millions of US dollars),,,533,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
474,Martinique,2019,Tourism expenditure (millions of US dollars),,,549,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
478,Mauritania,2017,Tourism expenditure (millions of US dollars),,,24,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
478,Mauritania,2018,Tourism expenditure (millions of US dollars),,,6,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
480,Mauritius,1995,Tourist/visitor arrivals (thousands),TF,,422,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
480,Mauritius,2005,Tourist/visitor arrivals (thousands),TF,,761,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
480,Mauritius,2010,Tourist/visitor arrivals (thousands),TF,,935,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
480,Mauritius,2017,Tourist/visitor arrivals (thousands),TF,,"1,342",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
480,Mauritius,2018,Tourist/visitor arrivals (thousands),TF,,"1,399",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
480,Mauritius,2019,Tourist/visitor arrivals (thousands),TF,,"1,383",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
480,Mauritius,1995,Tourism expenditure (millions of US dollars),,,616,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
480,Mauritius,2005,Tourism expenditure (millions of US dollars),,,"1,189",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
480,Mauritius,2010,Tourism expenditure (millions of US dollars),,,"1,585",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
480,Mauritius,2017,Tourism expenditure (millions of US dollars),,,"2,005",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
480,Mauritius,2018,Tourism expenditure (millions of US dollars),,,"2,161",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
484,Mexico,1995,Tourist/visitor arrivals (thousands),TF,,"20,241",Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
484,Mexico,2005,Tourist/visitor arrivals (thousands),TF,,"21,915",Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
484,Mexico,2010,Tourist/visitor arrivals (thousands),TF,,"23,290",Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
